BEZEICHNUNG_D,BEZEICHNUNG_I,BEZEICHNUNG_E,ADRESSE_D,ADRESSE_I,PLZ,ORTSCHAFT_D,ORTSCHAFT_I,HOMEPAGE_D,HOMEPAGE_I,TELEFON,TELEFON 2,FAX,EMAIL_I,EMAIL_D,EINTRITT_D,EINTRITT_I,EINTRITT_E,ÖFFNUNGSZEITEN_D,ÖFFNUNGSZEITEN_I,ÖFFNUNGSZEITEN_E,BESCHREIBUNG_D,BESCHREIBUNG_I,BESCHREIBUNG_E,GEOKOORDINATE_X,GEOKOORDINATE_Y
GEOMuseum Radein,GEOMuseo Redagno,GEOMuseum Radein,"Peter Rosegger Haus, Radein","Casa Peter Rosegger, Redagno",39040,Aldein,Aldino,www.bletterbach.info ,www.bletterbach.info ,+39 0471 886946,,,info@bletterbach.info,info@bletterbach.info,"6,00 € Erwachsene* - 3,00 € Schulklassen und Busreisende* - Kinder bis 14 Jahren frei* -  - * inkl. Eintritte Bletterbachschlucht, GEOMuseum Radein und BEsucherzentrum, Helmverleih - Führungen: - 13,00 € geführte Wanderungen Einzelperson ** - 10,00 € geführte Wanderungen Seniores, Menschen mit Behinderung, Studenten bis 27 Jahre ** - 10,00 € Gruppen ** - 7,00 € Schulklassen ** - 29,00 € Familienticket (16,00 € 1 Erwachsener mit Kindern) ** -  - ** inkl. Führung Bletterbachschlucht, GEOMuseum Radein oder Besucherzentrum, Helmverleih","€ 6,00 adulti* - € 3,00 scuole e adulti viaggianti con autobus* - bambini fino ai 14 anni ingresso gratuito* -  - * include ingresso gola Bletterbach, GEOMuseo Redagno e Centro visitatori, noleggio casco - Visite guidate: - € 13,00 visita guidata a persona ** - € 10,00 visita guidata anziani, portatori di handicap e studenti fino ai 27 anni ** - € 10,00 gruppi ** - € 7,00 scolaresche ** - € 29,00 ticket famiglia (€ 16,00 un adulto con bambini) ** -  - ** include visita guidata gola Bletterbach, GEOMuseo Redagno o Centro visitatori, noleggio casco","€6.00 adults* - €3.00 schools and buses passengers* - children up to 14 years free entrance* -  - * incl. entrance fees to Bletterbach gorge, GEOMuseum Radein and Visitor Centre, helmet rental - Guides tours: - €13.00 guided tour (for one - admission)  ** - €10.00 guided tour elderly, disabled, students up to 27 ** - €10.00 group ** - €7.00 shool classes ** - €29.00 family card (€16,00 one adult with children) ** -  - ** incl. guided tour of Bletterbach gorge, GEOMuseum Radein or Visitor Centre, helmet rental",Mai-Okt - täglich 9.30-18 h,mag-ott - ogni giorno h 9.30-18,May-Oct - daily 9.30-6 pm,Das GEOMuseum Radein im Peter-Rosegger-Haus direkt bei der Kirche in Oberradein zeigt die wichtigsten Funde aus dem GEOPARC Bletterbach und die die Bletterbachschlucht umgebenden charakteristischen Gesteine.,"Il GEOMuseo di Redagno, allestito nell’edificio ""Peter Rosegger"", situato nei pressi della chiesa di Redagno di Sopra, espone i più importanti reperti fossili provenienti dal GEOPARC Bletterbach e le sue caratteristiche rocce.",The GEOMuseum in the Peter Rosegger House right next to the church in Oberradein /Radegno di Sopra displays the most important finds from the GEOPARC Bletterbach and characteristic rocks from the Bletterbach gorge.,11.396719,46.346691
GEOPARC Bletterbach,GEOPARC Bletterbach,GEOPARC Bletterbach,Lerch 40,Lerch 40,39040,Aldein,Aldino,www.bletterbach.info,www.bletterbach.info,+39 0471 886946,,,info@bletterbach.info,info@bletterbach.info,"6,00 € Erwachsene* - 3,00 € Schulklassen und Busreisende* - Kinder bis 14 Jahren frei* -     * inkl. Eintritte Bletterbachschlucht, Besucherzentrum und GEOMuseum Radein, Helmverleih -  - Führungen: -  13,00 € geführte Wanderungen Einzelperson ** -  10,00 € geführte Wanderungen Seniores, Menschen mit Behinderung, Studenten bis 27 Jahre ** -  10,00 € Gruppen ** -  7,00 € Schulklassen ** -  29,00 € Familienticket (16,00 € 1 Erwachsener mit Kindern) ** -     ** inkl. Führung Bletterbachschlucht, Besucherzentrum oder GEOMuseum Radein, Helmverleih","€ 6,00 adulti* - € 3,00 scuole e adulti viaggianti con autobus* - bambini fino ai 14 anni ingresso gratuito* -     * include ingresso gola Bletterbach, Centro visitatori e GEOMuseo Redagno, noleggio casco -  - Visite guidate: - € 13,00 visita guidata a persona ** - € 10,00 visita guidata anziani, portatori di handicap e studenti fino ai 27 anni ** - € 10,00 gruppi ** - € 7,00 scolaresche ** - € 29,00 ticket famiglia (€ 16,00 un adulto con bambini) ** -     ** include visita guidata gola Bletterbach, Centro visitatori o GEOMuseo Redagno, noleggio casco","€6.00 adults* - €3.00 schools and buses passengers* - children up to 14 years free entrance* -     * incl. entrance fees to Bletterbach gorge, Visitor Centre and GEOMuseum Radein, helmet rental -  - Guides tours: - €13.00 guided tour (for one - admission)  ** - €10.00 guided tour elderly, disabled, students up to 27 ** - €10.00 group ** - €7.00 shool classes ** - €29.00 family card (€16,00 one adult with children) ** -     ** incl. guided tour of Bletterbach gorge, Visitor Centre or GEOMuseum Radein, helmet rental",Mai-Okt - täglich 9.30-18 h - täglich geführte Wanderung 10.30 h,mag-ott - tutti i giorni h 9.30-18 - ogni giorno escursione guidata h 10.30,May-Oct - daily 9.30-6 pm - daily guided walks 10.30,Der GEOPARC Bletterbach zählt zum Dolomiten UNESCO-Welterbe und erstreckt sich über eine Gesamtfläche von 818 Hektar. Seine einzigartige Landschaft weist Pflanzenfossilien und Saurierspuren auf. Der Geologie und Geomorphologie kommen daher im Freigelände und im Innenbereich besondere Aufmerksamkeit zu.,Il GEOPARC Bletterbach rientra nelle Dolomiti Patrimonio Mondiale UNESCO e si estende su una superficie complessiva di 818 ettari. Nel suo paesaggio unico si trovano fossili di piante e orme di sauri. Nell’areale e nel centro visitatori sono illustrate questa particolare geologia e geomorfologia.,The GEOPARC Bletterbach is part of the Dolomites UNESCO World Heritage Site and covers a total area of 818 hectares. Its unique landscape has plant fossils and dinosaur tracks. Special attention is therefore paid to geology and geomorphology in the outdoor and indoor areas.,11.406899,46.366398
Naturparkhaus Trudner Horn,Centro visite Monte Corno,Trudner Horn visitor centre,Am Kofl 2,Am Kofl 2,39040,Truden,Trodena,www.provinz.bz.it/naturparke,www.provincia.bz.it/parchi-naturali,+39 0471 869247,,,info.th@provincia.bz.it,info.th@provinz.bz.it,freier Eintritt,ingresso gratuito,free entrance,"Apr-Okt - Di-Sa 9.30-12.30, 14.30-18 h - Juli-Sep auch So","apr-ott - mar-sab h 9.30-12.30,14.30-18 - lug-set anche dom","April-Oct - Tue-Sat 9.30-12.30, 2.30-6 pm - July-Sep also Sun","Das Naturparkhaus ist in einer alten, elektrischen Mühle untergebracht, die saniert wurde und wieder funktionstüchtig ist. Der Außenbereich ist mit typischer Kalkstein- und Porphyrvegetation gestaltet, verfügt über einen Amphibienteich, einen Kräutergarten und ein kleines Kornfeld.","Il Centro visite è ospitato in un vecchio mulino elettrico ristrutturato. L’esterno del Centro comprende un’area con la tipica vegetazione su substrato calcareo e porfirico e dispone di uno stagno per anfibi, di un orto con erbe medicinali e di un piccolo campo di grano.","The visitor centre is housed in an old electric mill that has been renovated and is once again functional. The outdoor area is landscaped with typical limestone and porphyry vegetation, has an amphibian pond, a herb garden and a small cornfield.",11.349096,46.322646
Museum im Heimathaus des Bischof Johannes Zwerger,Museo nella casa natale del Vescovo Johannes Zwerger,Museum in the Residence of Bishop Johannes Zwerger,Guggal 15,Guggal 15,39040,Altrei,Anterivo,www.gemeinde.altrei.bz.it,www.comune.anterivo.bz.it,+39 0471 882021,,+39 0471 882600,info@anterivo.eu,info@altrei.eu,Freiwillige Spende,offerta libera,voluntary contribution,nur mit Anmeldung,solo su prenotazione,By appointment only,Das Museum im ehemaligen Heimathaus von Fürstbischof Johannes Zwerger dokumentiert das Leben und Wirken des bekanntesten Altreier Bürgers. Es bewahrt Dokumente aus seinem Leben sowie Gegenstände aus seinem Alltag auf.,Il museo allestito in quella che fu la casa natale del Principe Vescovo Johannes Zwerger documenta la vita e le opere del più noto cittadino di Anterivo. Conserva documenti dalla sua vita e oggetti della sua quotidianità.,The museum in the former home of Prince-Bishop Johannes Zwerger documents the life and work of the town's most famous citizen. It exhibits documents as well as objects from his everyday life.,11.366306,46.277761
Archeoparc Villanders,Archeoparc Villandro,Archeoparc Villanders,Franz-von-Defregger Gasse,vicolo Franz von Defregger,39040,Villanders,Villandro,www.villanders.info,www.villanders.info,+39 0472 843121,,,info@villanders.info,info@villanders.info,"3,00 € Erwachsene - 1,00 € Kinder zwischen 6 und 14 Jahren - freier Eintritt für Kinder unter 6 Jahren - 2,00 € (pro Person) für Gruppen mit mindestens 10 Personen","€ 3,00 adulto - € 1,00 bambini da 6 a 14 anni - gratuito per bambini fino a 6 anni - € 2,00 (a persona) per gruppi con più di 10 persone","€ 3,00 adults - € 1,00 children from 6 to 14 years - free entrance for children under 6 years - € 2,00 (per person) for groups with at least 10 persons","Juni-Sep - Fr 20.30-22 h - Gruppen (ab 10 Personen) auch außerhalb der Öffnungszeiten, auf Anmeldung","giu-sett - ven h 20.30-22 - gruppi (a partire da 10 persone) anche fuori orario, su prenotazione","June-Sep - Fri 8.30-10 - groups (from 10 persons up) also out of opening time, on reservation",Der Plunacker ist eine bedeutende archäologische Fundstätte mit Siedlungsspuren von der Mittelstein- über die Jungsteinzeit und Bronze- bis zur Römerzeit. Die umfangreichen römerzeitlichen und mittelalterlichen Gebäudereste stellen die Hauptattraktion dar.,Plunacker è un importante sito archeologico con tracce di insediamenti dal mesolitico al neolitico e dall’età del bronzo all’età romana. Attrazione principale sono i numerosi resti di costruzioni romane e medievali.,The Plunacker is an important archaeological site with traces of settlements from the Middle Stone Age through the Neolithic and Bronze Age to the Roman period. The extensive Roman and medieval building remains are the main attraction.,11.540279,46.631396
Naturparkhaus Puez-Geisler,Centro visite Puez-Odle,Puez-Geisler visitor centre,St. Magdalena - Trebich 1,S. Maddalena - Trebich 1,39040,Villnöss,Funes,www.provinz.bz.it/naturparke,www.provincia.bz.it/parchi-naturali,+39 0472 842523,,,info.po@provincia.bz.it,info.pg@provinz.bz.it,Eintritt frei,ingresso libero,freee entrance,"Ende Dez-März - Mai-Okt - Di-Sa 9.30-12.30, 14.30-18 h - Juli, Aug auch So - feiertags geschl.","fine dic-marzo - mag-ott - mar-sab h 9.30-12.30, 14.30-18 - lug, ago anche dom - chiuso nei festivi","end-Dec-March - May-Oct - Tue-Sat 9.30-12.30, 2.30-6 pm - July, Aug also Sun - closed on public holidays","Das Naturparkhaus ist der Geologie und Natur der Dolomiten und dem Alpinismus rund um Reinhold Messner gewidmet. In der „Wunderkammer Natur“ können Tierfelle, Vogeleier, Federn, Gebisse, Geweihe und Heilkräuter erkundet werden.","Il Centro visite è dedicato alla geologia delle Dolomiti e all’alpinismo di Reinhold Messner. Nell’area ""Meraviglie della natura"" è possibile scoprire pellicce di animali, uova e penne d’uccello, dentature, palchi ed erbe medicinali.","The visitor centre is dedicated to the geology and nature of the Dolomites and to alpinism pertaining to Reinhold Messner. In a cabinet of nature's wonders, animal skins, bird eggs, feathers, sets of teeth, antlers and medicinal herbs can be explored.",11.710919,46.642358
Archeoparc Feldthurns,Archeoparc Velturno,Archeoparc Feldthurns,Silvius Magnago Platz 3,"piazza Silvius Magnago, 3",39040,Feldthurns,Velturno,www.feldthurns.info,www.feldthurns.info,+39 0472 855290,,,info@feldthurns.info,info@feldthurns.info,"3,00 €  - 2,00 € Gruppen ab 15 Personen","€ 3,00  - € 2,00 gruppi da 15 persone in su",€3.00   - €2.00 groups up to 15 persons,Öffnungszeiten siehe Webseite,orari di apertura vedi pagina web,opening hours see website,"Feldthurns ist reich an Zeugnissen einer hohen religiösen Kultur, vom Königsanger bis in die Talsohle. Zentrale Fundstelle ist die Tanzgasse, wo man auf Grabstätten und Überreste der Keramikherstellung gestoßen ist, die auf erste Gemeinschaften mit Ackerbau und Viehzucht schließen lassen, die bis ins 5. Jahrtausend v. Christus zurückreichen.","Velturno è ricca di testimonianze di alta cultura religiosa, dal Königsanger fino al fondovalle. La Tanzgasse è il luogo di ritrovamento centrale di tombe e resti di produzione di ceramiche, che dimostrano le prime convivenze tra coltivatori e pastori nomadi e che risalgono fino al 5000 a. C.","The area is rich in evidence of a high religious culture, from the Königsanger to the valley floor. The central site is Tanzgasse, where burial sites and remains of pottery production have been found, suggesting early communities with agriculture and livestock breeding dating back to the 5th millennium BC.",11.598168,46.669391
Schloss Velthurns,Castel Velturno,Velthurns Castle,Dorf 1,"Paese, 1",39040,Feldthurns,Velturno,www.schlossvelthurns.it,www.castelvelturno.it,+39 0472 855525,,,,,"6,00 € Erwachsene  - 5,00 € Gruppen (ab 15 Personen), Senioren ab 65 Jahren  - 3,50 € Jugendliche bis 18 Jahre und Studenten - 2,00 € Grund-, Mittel-, Berufs und Oberschulen - 12,00 € Familienkarte (Eltern und Kinder bis 14 Jahren) - 6,00 € ein Elternteil und Kinder bis 14 Jahren - frei für Kinder bis 6 Jahren ","€ 6,00 adulti  - € 5,00 gruppi (oltre 15 persone), anziani da 65 anni in su - € 3,50 ragazzi fino a 18 anni e studenti - € 2,00 (scuole elementari, medie, professionali e superiori) - € 12,00 biglietto famiglia (genitori e bambini fino a 14 anni) - € 6,00 un genitore e bambini fino a 14 anni - ingresso libero per bambini fino a 6 anni ","€6.00 adults  - €5.00 groups (15 or more), elderly (over 65) - €3,50 young people up to 18 years and students - €2.00 students up to 18 years  - €12.00 family ticket (parents with children up to 14 years) - € 6.00 one parent with children up to 14 years - free admission for chlidren up to 6 years",Ostern - Allerheiligen - Di-So 10-17 h,Pasqua-Ognissanti - mar-dom h 10-17,Easter - All Saints - Tue-Sun 10-5 pm,"Die Schlossanlage aus dem 16. Jahrhundert war bis 1803 Sommersitz der Fürstbischöfe von Brixen. Sie weist im Inneren eine reiche Ausstattung aus der Renaissance mit Täfelungen, Einlegearbeiten, geschnitzten Portalen, Öfen und Fresken und eine Sammlung Südtiroler Kunstwerke des 15. bis 20. Jahrhunderts auf. Die Struktur wird von Schloss Tirol verwaltet.","Il palazzo del XVI secolo fu fino al 1803 residenza estiva dei principi vescovi di Bressanone. Particolari attrazioni sono i preziosi arredi rinascimentali (pannelli lignei, stufe, affreschi) e una collezione di opere d’arte risalenti ai secoli XV–XX. La struttura è gestita da Castel Tirolo.","The castle complex from the 16th century was the summer residence of the princebishops of Brixen/Bressanone until 1803. Inside, it has a rich Renaissance interior with panelling, inlay work, carved portals, stoves and frescoes and a collection of South Tyrolean artworks from the 15th to 20th centuries. The structure is managed by Castle Tyrol.",11.600272,46.669907
Schludernser Torturm,Torre di Porta Sluderno,Schluderns Gate Tower,Florastraße 33,via Flora 33,39020,Glurns,Glorenza,www.glurns.eu,www.glurns.eu,+39 0473 831288,,,info@glurnsmarketing.it,info@glurnsmarketing.it,"3,00 € Erwachsene - 2,50 € Senioren (ab 60 J.) und Gruppen (ab 10 Personen) - 1,50 € Kinder (bis 15 J.)","€ 3,00 adulti - € 2,50 anziani (dai 60 anni) e gruppi (più di 10 persone) - € 1,50 bambini (fino ai 15 anni)","€3.00 adults - €2.50 elderly (over 60), groups (from 10 persons up) - €1.50 children (up to 15)","Mitte Apr-Okt - Di-Fr 10-12, 14-16 h","metà apr-ott - mar-ven h 10-12, 14-16","mid-Apr-Oct - Tue-Fri 10-12, 2-6 pm","Im Schludernser Torturm wird auf zwei Stockwerken die Geschichte in „Stationen einer kleinen Stadt“ illustriert. Die Themen sind Handel, Verteidigung, Markt und Berufe sowie der Wiederaufbau und die Befestigung der Stadt Glurns im 16. Jahrhundert.","All’interno della Torre di Porta Sluderno, su due piani, sono illustrate le ""Tappe di una piccola città"". Temi centrali sono il commercio, la difesa, il mercato, le professioni nonché la ricostruzione e fortificazione della città di Glorenza nel XVI secolo.","History is illustrated in ""Stations of a small town"" on two floors in the gate tower of Schluderns/Sluderno. The topics are trade, defence, market and professions as well as the reconstruction and fortification of the city in the 16th century.",10.556722,46.671139
Messner Mountain Museum Corones,Messner Mountain Museum Corones,Messner Mountain Museum Corones,Kronplatz,Plan de Corones,39030,Enneberg,Marebbe,www.messner-mountain-museum.it,www.messner-mountain-museum.it,+39 0474 501350,,,corones@messner-mountain-museum.it,corones@messner-mountain-museum.it,"14,00 € Erwachsene  - 12,00 € Gruppen (ab 15 Personen), Personen mit Behinderung, Studenten, Senioren (ab 65 Jahre)  - 6,00 € Kinder (6-14 Jahre), Schulklassen (6-19 Jahre) - 32,00 € Familienkarte - MMM Tour-Ticket: - 55,00 € Erwachsene  - 45,00 € Gruppen (ab 15 Personen), Personen mit Behinderung, Studenten, Senioren (ab 65 Jahre)  - 25,00 € Kinder (6-14 Jahre) - 125,00 € Familienkarte","€ 14,00 adulti  - € 12,00 gruppi oltre 15 persone, portatori di handicap, studenti, anziani (oltre 65 anni)  - € 6,00 bambini (dai 6 ai 14 anni), classi scolastiche (6-19 anni) - € 32,00 famiglie - MMM Tour-Ticket: - € 55,00 adulti - € 45,00 gruppi oltre 15 persone, portatori di handicap, studenti, anziani (oltre 65 anni) - € 25,00 bambini (6-14 anni)  - € 125,00 famiglie","€14.00 adults  - €12.00 groups (15 or more), disabled persons, students, elderly (over 65)  - €6.00 children (6-14 years), school classes (6-19 years) - €32.00 families - MMM Tour-Ticket: - €55.00 adults - €45.00 groups (15 or more), disabled persons, students, elderly (over 65) - €25.00 children (6-14 years) - €125.00 families","1. Sa im Juni-2. So im Okt, Ende Nov-Mitte April (entsprechend der Öffnungszeiten der Seilbahn Reischach) - h 10-16 - letzter Einlass 15.30 h","1° sab di giugno-2a dom di ott, fine nov-metà di aprile (collegato agli orari delle funivie) - ore 10-16 - ultimo ingresso h 15.30","first Saturday of June-second Sunday of Oct, end of Nov-mid-Apr (corresponding to the opening hours of the ropeways) - 10-4 pm - last admission 3.30 pm","Auf dem Gipfelplateau des Kronplatzes auf 2.275 Metern Höhe geht es um den traditionellen Alpinismus, den Reinhold Messner entscheidend geprägt hat. Im unverwechselbaren Museumsbau von Zaha Hadid wird Alpingeschichte erzählt, der einmalige Blick in alle Himmelsrichtungen auf die großen Wände der Dolomiten und Alpen ist Teil der Erfahrung.","Situato sul Plan de Corones (2.275 m s.l.m.), il museo è dedicato all’alpinismo tradizionale plasmato in maniera decisiva da Reinhold Messner. La vista mozzafiato sulle grandi pareti delle Dolomiti e delle Alpi, che si gode dall’inconfondibile edificio progettato da Zaha Hadid, è parte integrante dell'esperienza museale.","On the summit plateau of the Kronplatz at 2,275 metres above sea level, it's all about traditional alpinism, which Reinhold Messner had a decisive influence on. Alpine history is told in Zaha Hadid's distinctive museum building, and the unique view in all directions of the great walls of the Dolomites and Alps is part of the experience.",11.95762,46.73863
